Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 2, 75, 203, 203, 609, 4, 
10, 20, 22, 345, 345, 229, 1, 
10, 28, 42, 50, 50, 58, 3, 
10, 29, 76, 121, 71, 16, 1, 
10, 51, 70, 7, 0, 0, 0, 
10, 62, 70, 167, 167, 501, 4, 
10, 79, 31, 40, 40, 120, 5, 
10, 79, 93, 123, 0, 0, 0, 
20, 2, 54, 61, 26, 14, 3, 
20, 5, 37, 39, 39, 78, 3, 
20, 13, 75, 196, 196, 392, 3, 
20, 40, 36, 402, 402, 320, 2, 
20, 55, 88, 173, 141, 131, 3, 
20, 58, 34, 45, 0, 0, 0, 
20, 62, 47, 50, 50, 150, 4, 
20, 66, 13, 194, 0, 0, 0, 
20, 75, 59, 18, 0, 0, 0, 
30, 15, 99, 82, 82, 291, 5, 
30, 41, 56, 68, 68, 96, 3, 
30, 47, 64, 169, 169, 227, 3, 
30, 70, 62, 139, 0, 0, 0, 
30, 79, 84, 19, 0, 0, 0, 
30, 83, 39, 343, 0, 0, 0, 
30, 87, 72, 29, 0, 0, 0, 
30, 97, 30, 50, 0, 0, 0, 
30, 97, 53, 7, 0, 0, 0, 
40, 5, 45, 52, 44, 13, 1, 
40, 9, 94, 83, 81, 69, 3, 
40, 15, 43, 40, 39, 15, 1, 
40, 22, 84, 6, 6, 7, 3, 
40, 52, 21, 600, 541, 20, 1, 
40, 60, 70, 13, 13, 13, 3, 
40, 68, 95, 125, 0, 0, 0, 
40, 76, 54, 103, 0, 0, 0, 
40, 80, 28, 320, 0, 0, 0, 
40, 84, 85, 141, 0, 0, 0, 
40, 86, 32, 192, 1, 3, 4, 
40, 95, 80, 111, 111, 333, 4, 
50, 2, 55, 71, 4, 1, 3, 
50, 6, 96, 63, 0, 0, 0, 
50, 10, 81, 4, 4, 4, 4, 
50, 19, 13, 295, 295, 379, 3, 
50, 38, 76, 176, 176, 941, 5, 
50, 41, 34, 30, 30, 60, 3, 
50, 43, 39, 68, 68, 136, 3, 
50, 51, 55, 70, 70, 212, 4, 
50, 53, 43, 220, 0, 0, 0, 
50, 55, 38, 600, 0, 0, 0, 
50, 59, 73, 192, 192, 109, 2, 
50, 60, 92, 4, 0, 0, 0, 
50, 61, 38, 59, 59, 108, 3, 
50, 71, 41, 105, 105, 133, 3, 
50, 88, 51, 268, 30, 1, 2, 
60, 2, 31, 564, 564, 479, 2, 
60, 3, 24, 363, 0, 0, 0, 
60, 9, 72, 52, 52, 130, 4, 
60, 23, 2, 78, 78, 55, 2, 
60, 26, 44, 165, 165, 154, 2, 
60, 31, 86, 45, 45, 82, 3, 
60, 32, 77, 26, 0, 0, 0, 
60, 35, 97, 43, 43, 74, 3, 
60, 51, 75, 30, 30, 34, 3, 
60, 66, 98, 118, 118, 52, 1, 
60, 84, 94, 53, 0, 0, 0, 
60, 90, 89, 165, 0, 0, 0, 
60, 91, 57, 308, 0, 0, 0, 
60, 92, 83, 4, 0, 0, 0, 
60, 93, 88, 29, 0, 0, 0, 
70, 22, 6, 232, 189, 29, 1.69, 
70, 42, 53, 65, 65, 76, 3, 
70, 48, 85, 102, 100, 4, 1, 
70, 49, 65, 38, 38, 36, 3, 
70, 60, 98, 400, 400, 442, 3, 
70, 69, 51, 97, 95, 10, 1, 
70, 74, 9, 600, 596, 67, 1, 
70, 78, 67, 33, 3, 1, 1, 
70, 82, 63, 196, 5, 1, 1, 
70, 89, 18, 600, 600, 580, 3, 
70, 89, 28, 207, 0, 0, 0, 
80, 2, 10, 369, 367, 61, 1, 
80, 8, 36, 407, 272, 144, 3, 
80, 25, 68, 103, 103, 90, 2.94, 
80, 27, 63, 267, 262, 42, 1, 
80, 45, 51, 71, 69, 24, 3, 
80, 47, 2, 68, 68, 87, 3, 
80, 88, 14, 53, 44, 8, 2, 
90, 15, 35, 6, 5, 5, 4.6, 
90, 19, 72, 103, 96, 6, 1, 
90, 23, 85, 400, 290, 2069, 5, 
90, 28, 37, 10, 10, 10, 2, 
90, 46, 17, 93, 93, 102, 2, 
90, 46, 70, 205, 170, 90, 2.88, 
90, 46, 85, 169, 169, 862, 4, 
90, 56, 5, 600, 600, 1505, 4.99, 
90, 61, 56, 23, 23, 42, 3, 
90, 64, 76, 45, 0, 0, 0, 
90, 66, 54, 31, 31, 57, 3, 
90, 89, 88, 72, 72, 490, 4, 
90, 90, 43, 200, 200, 286, 3, 
90, 98, 27, 81, 81, 184, 4, 
100, 8, 1, 47, 0, 0, 0, 
100, 14, 92, 15, 0, 0, 0, 
100, 16, 76, 24, 0, 0, 0, 
100, 19, 35, 6, 3, 1, 1, 
100, 21, 95, 152, 89, 222, 3.99, 
100, 24, 15, 71, 55, 19, 2, 
100, 25, 53, 194, 192, 96, 2, 
100, 38, 18, 384, 384, 268, 2.94, 
100, 55, 9, 55, 53, 19, 1, 
100, 69, 6, 128, 116, 3, 3, 
100, 78, 7, 7, 0, 0, 0, 
