Time,InitialSiteRow,InitialSiteColumn,SitesChecked,CohortsKilled,MeanSeverity,fire1,fire2,TotalBurnedSites
10,4,5,36,872,5.0,36,0, 36
10,4,26,100,1553,3.1,6,94, 100
10,4,34,55,1267,3.0,0,55, 55
10,7,46,186,2395,3.0,0,186, 186
10,11,76,6,128,3.0,0,6, 6
10,12,39,6,105,3.0,0,6, 6
10,13,22,175,3116,3.9,76,99, 175
10,16,9,50,776,5.0,50,0, 50
10,18,54,105,1940,3.0,0,105, 105
10,19,99,148,2838,3.0,0,148, 148
10,20,6,138,2236,5.0,138,0, 138
10,20,35,163,3149,3.0,0,163, 163
10,21,84,175,2956,3.0,0,175, 175
10,23,58,137,2089,3.0,0,137, 137
10,23,72,191,2220,3.0,0,191, 191
10,28,41,60,789,3.0,0,60, 60
10,30,31,148,3119,3.1,7,141, 148
10,31,10,283,6534,4.9,280,3, 283
10,35,78,333,5509,3.0,0,333, 333
10,37,95,116,1518,3.0,0,116, 116
10,38,36,137,1824,3.0,0,137, 137
10,40,64,14,207,3.0,0,14, 14
10,43,3,198,4006,4.8,198,0, 198
10,46,64,11,67,3.0,0,11, 11
10,48,29,1,20,3.0,0,1, 1
10,51,79,114,2190,3.0,0,114, 114
10,52,73,123,707,3.0,0,123, 123
10,53,23,105,2265,3.3,18,87, 105
10,55,32,151,2819,3.0,0,151, 151
10,56,52,1,5,3.0,0,1, 1
10,57,87,93,1854,3.0,0,93, 93
10,58,7,19,114,2.9,19,0, 19
10,60,11,48,861,4.3,48,0, 48
10,61,44,185,1903,3.0,0,185, 185
10,61,77,242,2960,3.0,0,242, 242
10,61,96,34,363,3.0,0,34, 34
10,65,24,1,20,3.0,0,1, 1
10,66,19,45,670,3.7,35,10, 45
10,70,8,52,294,4.0,52,0, 52
10,72,11,1,5,4.0,1,0, 1
10,73,62,600,3189,3.0,0,600, 600
10,73,76,600,7357,3.0,0,600, 600
10,75,24,151,1713,3.0,19,132, 151
