Time,TotalSitesBurned,TotalNumberEvents,fire1,fire2,,FRP 1,FRP 2
10,6255,51,1336,4919,,46.45017903,66.16541353
20,1116,24,92,1024,,,
30,940,26,250,690,,,
40,396,24,274,122,,,
50,1397,34,436,961,,,
60,2249,48,538,1711,,,
70,938,33,341,597,,,
80,1013,33,203,810,,,
90,2277,35,158,2119,,,
100,1490,25,874,616,,,
110,1159,28,309,850,,,
120,1000,34,190,810,,,
130,2557,40,636,1921,,,
140,1376,29,228,1148,,,
150,419,32,205,214,,,
160,2493,38,791,1702,,,
170,731,32,139,592,,,
180,1941,37,556,1385,,,
190,1596,38,305,1291,,,
200,696,33,238,458,,,
