Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, MN101, 0, 1881, 0, 17164.4, 17799.7, 2.6, 0.8, 0.9, 1.5, 213.8, 1152.5, 0.1, 283, 99, 8085.4, 2021.4, 450.6, 145.8, 27, 5, 23.9, 0.9, 785.5, 3363.3, 11972.8, 1042.8, 7.5, 2.5, 21.1, 32.1, 1.2, 2.4, 0.2, 0.3, 0.1, 0.1, 21, 361.9, 391.7, 96.8, 0.2, -1.1, 0.1, -0.3, 5.7, 9.3, -7.8, 0, 4.97, 0, 0, 0, 0, 0, 0, 1085.9, 0.01, 0, 
0, MN102, 1, 7920, 0, 15394.7, 18680.9, 0.6, 0.2, 0.2, 0.4, 140, 930.6, 0, 150.4, 52.6, 8632, 2158, 451.5, 165.4, 20.9, 3.3, 25.8, 0.5, 818, 2947.8, 10742.4, 886.5, 5, 1.5, 24.2, 35.3, 1.3, 2.8, 0.1, 0.2, 0.1, 0.1, 19.9, 311.5, 319.2, 69.4, 0.2, -1, 0.1, 0, 5.4, 7.9, -7.9, 0, 1.18, 0, 0, 0, 0, 0, 0, 860.6, 0, 0, 
5, MN101, 0, 1881, -161.8, 17532.8, 18712.8, 717.1, 205.9, 267.5, 380.9, 213.54, 1174.2, 28, 300, 105, 8497.7, 2124.4, 448.9, 147, 26.8, 4.7, 24.7, 0.8, 806.2, 3434.7, 12237, 1054.9, 8.1, 2.6, 22.1, 34, 1.2, 2.4, 0.2, 0.3, 0.1, 0.1, 21.8, 369.8, 398.8, 98.9, 0.2, -1.1, 0.1, -0.2, 5.9, 9.6, -8, 0, 39.95, 0.21, 0.81, 0, 0, 11.7, 5, 1103.6, 2.54, 0, 
5, MN102, 1, 7920, -204.4, 15921.3, 19736.8, 747.3, 212, 253.4, 417.6, 138.47, 958, 25.5, 163.4, 57.2, 9115.2, 2278.8, 456.7, 168.9, 20.7, 3, 26.3, 0.4, 848.7, 3051.9, 11123.4, 897.3, 5.5, 1.6, 25.5, 37.5, 1.3, 2.9, 0.1, 0.2, 0.1, 0.1, 21, 322.8, 329.7, 71.3, 0.2, -1, 0.1, 0.1, 5.7, 8.2, -8.1, 0, 39.95, 0.19, 0.52, 0, 0, 11.9, 6.1, 883.7, 1.62, 0, 
10, MN101, 0, 1881, -123.7, 17882.6, 19245, 695.9, 200, 260.4, 394.9, 216.27, 1195.7, 28.3, 299.9, 105, 8748.1, 2187, 464.4, 153.5, 26.6, 4.7, 23.7, 0.8, 819.2, 3504, 12492.2, 1067.3, 8.1, 2.6, 22.8, 35.2, 1.2, 2.6, 0.2, 0.3, 0.1, 0.1, 21.8, 377.2, 406.2, 101.1, 0.2, -1.1, 0.1, -0.3, 5.9, 9.8, -8.2, 0, 39.95, 0.22, 0.82, 0, 0, 11.4, 4.8, 1123.2, 2.57, 0, 
10, MN102, 1, 7920, -153.1, 16418.6, 20276.2, 719.1, 204.2, 243.9, 435.2, 140.75, 985.5, 25.9, 164.9, 57.7, 9367.4, 2341.8, 476.5, 177.1, 20.6, 3, 24.5, 0.4, 866.4, 3152.8, 11490.9, 908.5, 5.5, 1.6, 26.1, 38.6, 1.4, 3, 0.1, 0.2, 0.1, 0.1, 21, 333.3, 340.4, 73.3, 0.2, -0.9, 0.1, 0, 5.7, 8.5, -8.4, 0, 39.95, 0.2, 0.53, 0, 0, 11.5, 5.8, 909.3, 1.65, 0, 
15, MN101, 0, 1881, -101.8, 18226.8, 19577.2, 688.5, 198, 258.9, 405, 219.31, 1216.7, 28.6, 298.9, 104.6, 8904.8, 2226.2, 475.9, 158.3, 26.6, 4.7, 23.4, 0.8, 832.8, 3573, 12741.1, 1079.9, 8, 2.6, 23.1, 36, 1.3, 2.7, 0.2, 0.3, 0.1, 0.1, 21.8, 384.4, 413.7, 103.3, 0.2, -1.1, 0.1, -0.2, 5.9, 9.9, -8.4, 0, 39.95, 0.22, 0.83, 0, 0, 11.4, 4.8, 1143.1, 2.61, 0, 
15, MN102, 1, 7920, -135.3, 16915.4, 20622.7, 721.7, 205, 247, 449.3, 142.81, 1012.3, 26.6, 163.1, 57.1, 9531.9, 2383, 492.3, 183.5, 21, 3.1, 24.5, 0.4, 888.3, 3254.5, 11852.5, 920.1, 5.4, 1.5, 26.4, 39.3, 1.4, 3.1, 0.1, 0.2, 0.1, 0.1, 21.3, 343.8, 351.3, 75.3, 0.2, -1, 0.1, 0.1, 5.8, 8.8, -8.7, 0, 39.95, 0.2, 0.54, 0, 0, 11.8, 5.8, 935.1, 1.68, 0, 
20, MN101, 0, 1881, -66, 18546.3, 19687.2, 664.1, 191.1, 250.5, 409.7, 222.79, 1236.9, 28.7, 299, 104.7, 8956.5, 2239.1, 482.5, 161.3, 26.2, 4.6, 21.9, 0.8, 838.7, 3639, 12975.8, 1092.8, 8, 2.6, 23.2, 36.2, 1.3, 2.7, 0.1, 0.3, 0.1, 0.1, 21.6, 391.2, 421.2, 105.5, 0.2, -1, 0.1, -0.3, 5.9, 10.1, -8.5, 0, 39.95, 0.23, 0.84, 0, 0, 11, 4.5, 1163, 2.65, 0, 
20, MN102, 1, 7920, -76.9, 17374.5, 20649.1, 680.1, 193.4, 232.4, 455, 145.52, 1037.9, 26.7, 163.4, 57.2, 9544.1, 2386, 501, 187.2, 20.4, 3, 21.7, 0.4, 896.7, 3351.6, 12194.1, 932.1, 5.4, 1.5, 26.4, 39.1, 1.4, 3.2, 0.1, 0.2, 0.1, 0.1, 21.2, 353.7, 362.5, 77.4, 0.2, -0.9, 0.1, -0.1, 5.8, 8.9, -8.9, 0, 39.95, 0.21, 0.55, 0, 0, 11.1, 5.4, 960.9, 1.71, 0, 
