Time,Row,Column,SitesChecked,CohortsKilled,Severity,SitesEventMN101,SitesEventMN102,BurnedSites,
5, 1, 1, 4, 108, 5, 4, 0, 4, 
5, 1, 2, 100, 1853, 4.93, 100, 0, 100, 
5, 1, 10, 1, 19, 4, 1, 0, 1, 
5, 1, 17, 2, 30, 5, 2, 0, 2, 
5, 1, 19, 337, 5623, 4.37388724035608, 237, 100, 337, 
5, 1, 34, 85, 1667, 3, 0, 85, 85, 
5, 1, 40, 1, 19, 3, 0, 1, 1, 
5, 1, 45, 88, 688, 3, 0, 88, 88, 
5, 1, 53, 119, 966, 3, 0, 119, 119, 
5, 1, 54, 1, 5, 3, 0, 1, 1, 
5, 1, 56, 2, 4, 3, 0, 2, 2, 
5, 1, 65, 1, 2, 3, 0, 1, 1, 
5, 1, 70, 7, 40, 3, 0, 7, 7, 
5, 1, 74, 47, 637, 3, 0, 47, 47, 
5, 1, 81, 600, 7730, 3, 0, 600, 600, 
5, 1, 95, 1, 7, 3, 0, 1, 1, 
5, 2, 37, 1, 27, 3, 0, 1, 1, 
5, 2, 50, 2, 7, 3, 0, 2, 2, 
5, 2, 67, 11, 74, 3, 0, 11, 11, 
5, 2, 80, 1, 2, 3, 0, 1, 1, 
5, 3, 71, 2, 17, 3, 0, 2, 2, 
5, 4, 70, 1, 15, 3, 0, 1, 1, 
5, 4, 72, 4, 21, 3, 0, 4, 4, 
5, 4, 86, 1, 2, 3, 0, 1, 1, 
5, 5, 59, 2, 7, 3, 0, 2, 2, 
5, 6, 60, 22, 232, 3, 0, 22, 22, 
5, 7, 40, 1, 15, 3, 0, 1, 1, 
5, 7, 56, 1, 2, 3, 0, 1, 1, 
5, 7, 72, 1, 15, 3, 0, 1, 1, 
5, 7, 84, 1, 2, 3, 0, 1, 1, 
5, 8, 28, 2, 26, 3, 0, 2, 2, 
5, 8, 55, 1, 5, 3, 0, 1, 1, 
5, 8, 62, 1, 2, 3, 0, 1, 1, 
5, 8, 63, 5, 36, 3, 0, 5, 5, 
5, 9, 1, 1, 14, 5, 1, 0, 1, 
5, 9, 31, 103, 1865, 3, 0, 103, 103, 
5, 9, 46, 1, 5, 3, 0, 1, 1, 
5, 9, 56, 141, 778, 3, 0, 141, 141, 
5, 10, 40, 600, 9872, 3.00333333333333, 1, 599, 600, 
5, 11, 54, 1, 2, 3, 0, 1, 1, 
5, 11, 56, 1, 2, 3, 0, 1, 1, 
5, 11, 68, 2, 7, 3, 0, 2, 2, 
5, 11, 90, 1, 2, 3, 0, 1, 1, 
5, 12, 24, 6, 134, 3, 0, 6, 6, 
5, 13, 1, 1, 14, 5, 1, 0, 1, 
5, 13, 51, 1, 15, 3, 0, 1, 1, 
