Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_abiebals,CohortsHarvested_acernegu,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_acerspic,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_celtis,CohortsHarvested_fraxamer,CohortsHarvested_fraxnigr,CohortsHarvested_fraxpenn,CohortsHarvested_larilari,CohortsHarvested_ostrvirg,CohortsHarvested_piceglau,CohortsHarvested_picemari,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_popubals,CohortsHarvested_popudelt,CohortsHarvested_popugran,CohortsHarvested_poputrem,CohortsHarvested_prunpens,CohortsHarvested_prunsero,CohortsHarvested_prunvirg,CohortsHarvested_queralba,CohortsHarvested_querelli,CohortsHarvested_quermacr,CohortsHarvested_querrubr,CohortsHarvested_salix,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,CohortsHarvested_ulmuamer,CohortsHarvested_ulmurubr,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acernegu,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_acerspic,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_celtis,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_fraxnigr,BiomassHarvestedMg_fraxpenn,BiomassHarvestedMg_larilari,BiomassHarvestedMg_ostrvirg,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_picemari,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_popubals,BiomassHarvestedMg_popudelt,BiomassHarvestedMg_popugran,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_prunpens,BiomassHarvestedMg_prunsero,BiomassHarvestedMg_prunvirg,BiomassHarvestedMg_queralba,BiomassHarvestedMg_querelli,BiomassHarvestedMg_quermacr,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_salix,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,BiomassHarvestedMg_ulmuamer,BiomassHarvestedMg_ulmurubr,
5, 1, SalvageLogger4, 341, 756, 0, 29463.13, 12, 0, 23, 22, 0, 23, 11, 0, 33, 0, 0, 0, 0, 1, 0, 32, 169, 1, 0, 0, 0, 305, 0, 0, 0, 0, 47, 0, 23, 0, 22, 32, 0, 0, 19.81, 0, 60.71, 49.4, 0, 155.51, 927.85, 0, 129.25, 0, 0, 0, 0, 1.71, 0, 572.39, 4701.78, 178.66, 0, 0, 0, 18843.24, 0, 0, 0, 0, 3058.75, 0, 217.26, 0, 463.8, 83.01, 0, 0, 
10, 1, SalvageLogger4, 3079, 5692, 0, 65185.94, 5, 0, 856, 5, 0, 4, 956, 0, 475, 0, 0, 0, 0, 5, 0, 734, 166, 3, 0, 0, 0, 567, 0, 0, 0, 0, 87, 0, 601, 0, 5, 1223, 0, 0, 23.3, 0, 9140.51, 19.56, 0, 31.46, 10300.82, 0, 5051.76, 0, 0, 0, 0, 77.63, 0, 7617.57, 5022.9, 64.11, 0, 0, 0, 8371.48, 0, 0, 0, 0, 1900.62, 0, 5541.04, 0, 61.4, 11961.78, 0, 0, 
10, 2, SalvageLogger4, 281, 582, 0, 7499.89, 0, 0, 72, 0, 0, 2, 118, 0, 50, 0, 0, 0, 0, 0, 0, 45, 0, 1, 0, 0, 0, 98, 0, 0, 0, 0, 7, 0, 78, 0, 1, 110, 0, 0, 0, 0, 748.060000000001, 0, 0, 8.16, 1240.04, 0, 514.08, 0, 0, 0, 0, 0, 0, 456.75, 0, 178.66, 0, 0, 0, 2516.7, 0, 0, 0, 0, 68.88, 0, 704.23, 0, 6.57, 1057.76, 0, 0, 
15, 1, SalvageLogger4, 3425, 7364, 0, 122526.72, 7, 0, 1335, 20, 0, 24, 1057, 0, 320, 0, 0, 0, 0, 8, 0, 542, 259, 8, 0, 0, 0, 1648, 0, 0, 0, 0, 74, 0, 494, 0, 35, 1533, 0, 0, 21.29, 0, 18187.36, 72.91, 0, 194.71, 16564.51, 0, 5937.79, 0, 0, 0, 0, 47.04, 0, 12871.21, 7731.71, 68.17, 0, 0, 0, 30604.31, 0, 0, 0, 0, 2162.54, 0, 6317.9, 0, 308.95, 21436.32, 0, 0, 
15, 2, SalvageLogger4, 193, 311, 0, 3104.34, 0, 0, 37, 0, 0, 0, 81, 0, 11, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 36, 0, 1, 67, 0, 0, 0, 0, 391.46, 0, 0, 0, 852.119999999999, 0, 115.72, 0, 0, 0, 0, 0, 0, 40.6, 0, 0, 0, 0, 0, 716.319999999999, 0, 0, 0, 0, 0, 0, 329.76, 0, 9.8, 648.56, 0, 0, 
20, 1, SalvageLogger4, 2817, 4182, 0, 47216.03, 0, 0, 577, 0, 0, 3, 805, 0, 100, 0, 0, 0, 0, 2, 0, 151, 6, 2, 0, 0, 0, 1289, 0, 0, 0, 0, 17, 0, 243, 0, 2, 985, 0, 0, 0, 0, 6725.73, 0, 0, 24.63, 8987.15, 0, 1205.98, 0, 0, 0, 0, 16.25, 0, 3333.86, 49.63, 19.02, 0, 0, 0, 13678.38, 0, 0, 0, 0, 330.14, 0, 2388.57, 0, 14.86, 10441.83, 0, 0, 
20, 2, SalvageLogger4, 179, 227, 0, 2266.32, 0, 0, 16, 0, 0, 0, 68, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 15, 0, 0, 42, 0, 0, 0, 0, 169.28, 0, 0, 0, 715.359999999999, 0, 42.08, 0, 0, 0, 0, 0, 0, 40.6, 0, 0, 0, 0, 0, 755.039999999999, 0, 0, 0, 0, 0, 0, 137.4, 0, 0, 406.56, 0, 0, 
25, 1, SalvageLogger4, 2515, 3126, 0, 33524.63, 5, 0, 321, 0, 0, 0, 607, 0, 27, 0, 0, 0, 0, 10, 0, 21, 4, 8, 0, 0, 0, 1385, 0, 0, 0, 0, 0, 0, 123, 0, 0, 615, 0, 0, 35.33, 0, 4219.39, 0, 0, 0, 6598.64, 0, 354.25, 0, 0, 0, 0, 191.64, 0, 225.8, 119.49, 267.71, 0, 0, 0, 13944.06, 0, 0, 0, 0, 0, 0, 1153.95, 0, 0, 6414.37, 0, 0, 
25, 2, SalvageLogger4, 178, 198, 0, 1974.89, 0, 0, 7, 0, 0, 0, 63, 0, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 8, 0, 0, 25, 0, 0, 0, 0, 74.06, 0, 0, 0, 662.759999999999, 0, 10.52, 0, 0, 0, 0, 0, 0, 50.75, 0, 0, 0, 0, 0, 861.519999999999, 0, 0, 0, 0, 0, 0, 73.28, 0, 0, 242, 0, 0, 
30, 1, SalvageLogger4, 2169, 2495, 0, 25625.01, 0, 0, 158, 0, 0, 0, 496, 0, 12, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1295, 0, 0, 0, 0, 0, 0, 63, 0, 0, 462, 0, 0, 0, 0, 1781.62, 0, 0, 0, 5372.42, 0, 138.24, 0, 0, 0, 0, 0, 0, 91.35, 0, 0, 0, 0, 0, 12972.3, 0, 0, 0, 0, 0, 0, 591.22, 0, 0, 4677.86, 0, 0, 
