# ppt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco101,eco102,eco103,eco104,eco105,eco201,eco202,eco203,eco204,eco205,eco301,eco302,eco303,eco304,eco305,eco401,eco402,eco403,eco404,eco405,eco501,eco502,eco503,eco504,eco505,eco101,eco102,eco103,eco104,eco105,eco201,eco202,eco203,eco204,eco205,eco301,eco302,eco303,eco304,eco305,eco401,eco402,eco403,eco404,eco405,eco501,eco502,eco503,eco504,eco505,eco101,eco102,eco103,eco104,eco105,eco201,eco202,eco203,eco204,eco205,eco301,eco302,eco303,eco304,eco305,eco401,eco402,eco403,eco404,eco405,eco501,eco502,eco503,eco504,eco505
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
1979-01-01T00:00:00Z,0.18765335,0.09797601,1.90E-04,0,0,0.18765335,0.09797601,1.90E-04,0,0,0.18765335,0.09797601,1.90E-04,0,0,0.18765335,0.09797601,1.90E-04,0,0,0.18765335,0.09797601,1.90E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-02T00:00:00Z,0.18765335,0.14118168,0.07120735,0.28084707,0.5214859,0.18765335,0.14118168,0.07120735,0.28084707,0.5214859,0.18765335,0.14118168,0.07120735,0.28084707,0.5214859,0.18765335,0.14118168,0.07120735,0.28084707,0.5214859,0.18765335,0.14118168,0.07120735,0.28084707,0.5214859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-03T00:00:00Z,0.13232876,0.25425866,0.3696604,0.2848649,0.37922114,0.13232876,0.25425866,0.3696604,0.2848649,0.37922114,0.13232876,0.25425866,0.3696604,0.2848649,0.37922114,0.13232876,0.25425866,0.3696604,0.2848649,0.37922114,0.13232876,0.25425866,0.3696604,0.2848649,0.37922114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-04T00:00:00Z,0.69065243,2.138145,3.3819513,4.354576,5.9303293,0.69065243,2.138145,3.3819513,4.354576,5.9303293,0.69065243,2.138145,3.3819513,4.354576,5.9303293,0.69065243,2.138145,3.3819513,4.354576,5.9303293,0.69065243,2.138145,3.3819513,4.354576,5.9303293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-05T00:00:00Z,0,0,0.010564702,0.016202599,0.007753765,0,0,0.010564702,0.016202599,0.007753765,0,0,0.010564702,0.016202599,0.007753765,0,0,0.010564702,0.016202599,0.007753765,0,0,0.010564702,0.016202599,0.007753765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-06T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-07T00:00:00Z,0.40522873,0.21631306,0.002128427,2.62E-04,0,0.40522873,0.21631306,0.002128427,2.62E-04,0,0.40522873,0.21631306,0.002128427,2.62E-04,0,0.40522873,0.21631306,0.002128427,2.62E-04,0,0.40522873,0.21631306,0.002128427,2.62E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-08T00:00:00Z,4.1284695,4.755707,3.8679593,2.472638,3.0107574,4.1284695,4.755707,3.8679593,2.472638,3.0107574,4.1284695,4.755707,3.8679593,2.472638,3.0107574,4.1284695,4.755707,3.8679593,2.472638,3.0107574,4.1284695,4.755707,3.8679593,2.472638,3.0107574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-09T00:00:00Z,8.603004,13.705431,15.78251,12.849917,14.493898,8.603004,13.705431,15.78251,12.849917,14.493898,8.603004,13.705431,15.78251,12.849917,14.493898,8.603004,13.705431,15.78251,12.849917,14.493898,8.603004,13.705431,15.78251,12.849917,14.493898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
