ID,Story,Description,Checklist,Comments,Labels,Due Date,Members
1,"Info about this ""QAQC To Do"" list","To Do

The items below are LANDIS-II repos that (1) are ready to be QAQC tested (as documented by GitHub ""Merged"" actions or flagged with a ""Ready-for-Testing"" milestone), (2) are ready for standardization and documentation changes, and/or (3) need a new installer to accompany a new release. 

Repo standardization includes:
a) re-organizing and standardizing repo directories \deploy, \src, \testings
b) synchronizing .csproj, .iss, and ExtInfo.txt files
c) standardizing .iss files for easy replication to new extensions
d) easily updatable/replicable README.txt

Typically, new releases will require the additional QAQC step of beta-testing the release (ie, the newly-built installer) against a real (user-defined) dataset. 

",,,,,
4,"Info about this ""QAQC In-Progress"" list","The items below are LANDIS-II repos that are currently being QAQC tested.
",,,,,
9,"Info about this ""QAQC Done"" list","Completion will include a Project Work Log (PWL) .txt file documenting QAQC testing , clean-up and standardization, and/or release testing ",,,,,
11,[LANDIS-II-Foundation/Extension-Biomass-Succession] -- 6(a),"* Repo standardization and cleanup
* Example files not working (#2)
* Activate Climate Library in Biomass-Succession #6
* Restructure and Fix to Work with Biomass Cohorts #8
* Needs CohortPartialMortality to use the new Library.BiomassCohorts-v2 #9",,"Standardized and restructured repo passed QAQC for running Biommass Succession (no fire, no biomass outputs). Weather data accepted.

Runtime errors when ""Output Biomass"" and ""Output Biomass Reclass"" options activated",,,
12,[LANDIS-II-Foundation/Extension-Output-Biomass] -- 9,"* Restructure and Metadata (Pull #2)
* Needs metadata (Issue #1)
",,"QAQC passed
Runtime errors when ""Output Biomass"" selected as an output option from Biomass Succession",,,
15,[LANDIS-II-Foundation/Core-Model] -- 2,"* Restructure away from SVN and remove /sdk directory #15
* Restructured CoreModel #16
* Spp name added to error messages; version number added #17
* Virtual methods #18
* Fix for Issue #8 plus some small corrections #19",,QAQC complete,,,
16,[LANDIS-II-Foundation/Extension-Base-BDA] -- 8,"* Tandem method changes with virtual and override #2
* Repo clean-up and standardization",,QAQC passed,,,
17,[LANDIS-II-Foundation/Library-Harvest-Management] -- 7(a) ==> on hold,"* Implementation of Salvage Logging #6
* Fix for Issue #10 in Extension-Biomass-Harvest #5",,First round QAQC exposed exceptions/bugs. Waiting until all Metadata upgrades are completed before doing a second round QAQC.,,,
18,[LANDIS-II-Foundation/LANDVIZ] -- 1,"* Updates to PreProcTool rebuild protocol #19
* Area units need to be flexible #18",,"Developer documentation still needs updating for new release #21 (as of 23 Apr). Melissa will add the info provided in, ""README_Rebuild_PreProcTool.txt"" to the Developer's Guide
QAQC complete",,,
19,[LANDIS-II-Foundation/Extension-Biomass-Harvest] -- 3(a),"* Repo clean-up and standardization
* Biomass Harvest not communicating with succession for partial cohort disturbance #13
* A new issue (Slack, 8 Apr) with parsing biomass reductions.  The parser no longer recognizes 100% harvesting; the default if the biomass reduction is absent (This issue traced to Library.Biomass.Harvest.)",,QAQC passed,,,
20,[LANDIS-II-Foundation/Extension-Base-Harvest] -- 4,* Repo clean-up and standardization,,"QAQC passed
Standardization complete",,,
21,[LANDIS-II-Foundation/Extension-NECN-Succession] -- 5,* Repo clean-up and standardization,,QAQC passed,,,
24,[LANDIS-II-Foundation/Extension-Biomass-Harvest] -- 3(b),"* Need to add StandRanking by average aboveground biomass (back) (issue #14)

* ""SingleRepeat"" has a bug: it functions (e.g., repeats 10 years later), but then the prescription that uses ""SingleRepeat"" is never again used anywhere on the landscape.",,Assigned to Austen,,,
25,[LANDIS-II-Foundation/Extension-Biomass-Insect] -- 16(a),"* Needs metadata output (Issue #1)
* Metadata and File Restructure (Pull #2)
* Quick Bug Fix (pull #4)",,Passed QAQC,,,
26,DISTURBANCE EXTENSIONS,,,,,,
27,SUCCESSION EXTENSIONS,,,,,,
28,OUTPUT EXTENSIONS,,,,,,
29,[LANDIS-II-Foundation/Extension-Age-Only-Succession],"*  Needs metadata library (#1)
* Needs RepoStd",,,,,
31,[LANDIS-II-Foundation/Extension-Biomass-Succession] -- 6(b),"* Needs metadata (#7)
* Log file does not match output from Biomass Output (#3)",,Vincent to push metadata up before QAQC on log file,,,
35,"Info about this ""Programming To Do"" list",Programming tasks are assigned to individuals from repo Issues posted in GitHub. This is simply a list of Issues thta have been assigned.assigned.,,,,,
36,[LANDIS-II-Foundation/Extension-Output-Biomass-By-Age] -- 11,"* Needs metadata output #1
* Restructure and Metadata #2",,QAQC passed,,,
44,[LANDIS-II-Foundation/Extension-Output-Maximum-Spp-Age] -- 14,"* Needs to be migrated from extensions-output sub-directory (Issue #1)
*  Needs metadata output (Issue #2)",,QAQC passed,,,
47,[LANDIS-II-Foundation/Extension-Biomass-Succession] -- 6(c),"
* Documentation needs updating #10",,,,,
48,[LANDIS-II-Foundation/Extension-Base-Wind] -- 12,* Repo standardization and cleanup,,QAQC passed,,,
49,[LANDIS-II-Foundation/Extension-Base-Fire] -- 10(a) ==>on hold,"Repo work:

*  Needs metadata output (issue #1)
*  Repo standardization and cleanup
*  Restructure and Metadata(pull  #2)
* Fix for Potentially Problematic Code (pull #3)
* Bug fix and misc (merge #5)

",,"Second round QAQC has same runtime errors
First round QAQC has runtime errors",,,
50,[LANDIS-II-Foundation/Extension-Output-Cohort-Statistics] -- 13,"* Needs to be migrated from extensions-output sub-directory (Issue #1)
* Needs metadata output (Issue #2)
* Migrate to Metadata (Pull #4)",,QAQC passed,,,
51,All new extension releases to use Landis.Library.Utilities.,,,Vince is doing some research on this issue.  ON HOLD.,,,
52,[LANDIS-II-Foundation/Extension-Biomass-Insect]  -- 16(b),* Remove Landis.Extension.Succession.Biomass.dll as a requisite build library (issue #6),,Assigned to Vincent,,,
53,PRE-RELEASE,,,,,,
57,[LANDIS-II-Foundation/Extension-Output-Biomass-Reclass] --15,"* QAQC&RepoStd 
* Needs metadata (issues #1)",,QAQC passed,,,
