Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, MN101, 0, 1881, 0, 17164.4, 17799.7, 2.6, 0.8, 0.9, 1.5, 213.8, 1152.5, 0.1, 283, 99, 8085.4, 2021.4, 450.6, 145.8, 27, 5, 23.9, 0.9, 785.5, 3363.3, 11972.8, 1042.8, 7.5, 2.5, 21.1, 32.1, 1.2, 2.4, 0.2, 0.3, 0.1, 0.1, 21, 361.9, 391.7, 96.8, 0.2, -1.1, 0.1, -0.3, 5.7, 9.3, -7.8, 0, 4.97, 0, 0, 0, 0, 0, 0, 1085.9, 0.01, 0, 
0, MN102, 1, 7920, 0, 15394.7, 18680.9, 0.6, 0.2, 0.2, 0.4, 140, 930.6, 0, 150.4, 52.6, 8632, 2158, 451.5, 165.4, 20.9, 3.3, 25.8, 0.5, 818, 2947.8, 10742.4, 886.5, 5, 1.5, 24.2, 35.3, 1.3, 2.8, 0.1, 0.2, 0.1, 0.1, 19.9, 311.5, 319.2, 69.4, 0.2, -1, 0.1, 0, 5.4, 7.9, -7.9, 0, 1.18, 0, 0, 0, 0, 0, 0, 860.6, 0, 0, 
5, MN101, 0, 1881, -161.5, 17536.4, 18712.9, 717.1, 205.9, 267.5, 380.9, 213.56, 1174.2, 28, 300, 105, 8497.7, 2124.4, 448.9, 147.1, 26.8, 4.7, 24.7, 0.8, 807.2, 3435.3, 12239.1, 1054.9, 8.1, 2.6, 22.1, 34, 1.2, 2.4, 0.2, 0.3, 0.1, 0.1, 21.9, 369.8, 398.9, 98.9, 0.2, -1.1, 0.1, -0.2, 5.9, 9.6, -8, 0, 39.95, 0.21, 0.81, 0, 0, 11.7, 5, 1103.6, 2.54, 0, 
5, MN102, 1, 7920, -204, 15926.1, 19737.1, 747.3, 212, 253.4, 417.6, 138.48, 958.1, 25.5, 163.4, 57.2, 9115.3, 2278.8, 456.7, 169, 20.7, 3, 26.3, 0.4, 850, 3052.6, 11126.2, 897.3, 5.5, 1.6, 25.5, 37.5, 1.3, 2.9, 0.1, 0.2, 0.1, 0.1, 21, 322.8, 329.7, 71.3, 0.2, -1, 0.1, 0.1, 5.7, 8.2, -8.1, 0, 39.95, 0.19, 0.52, 0, 0, 11.9, 6.1, 883.8, 1.62, 0, 
10, MN101, 0, 1881, -123.3, 17889.4, 19245.4, 696, 200.1, 260.4, 394.9, 216.29, 1195.9, 28.3, 299.9, 104.9, 8748.3, 2187.1, 464.4, 153.6, 26.6, 4.7, 23.7, 0.8, 820.5, 3505.1, 12496.6, 1067.3, 8.1, 2.6, 22.8, 35.2, 1.2, 2.6, 0.2, 0.3, 0.1, 0.1, 21.9, 377.2, 406.3, 101.1, 0.2, -1.1, 0.1, -0.3, 5.9, 9.8, -8.2, 0, 39.95, 0.22, 0.82, 0, 0, 11.4, 4.8, 1123.3, 2.57, 0, 
10, MN102, 1, 7920, -152.7, 16427.3, 20277.1, 719.3, 204.3, 244, 435.2, 140.77, 985.7, 25.9, 164.8, 57.7, 9367.8, 2342, 476.6, 177.2, 20.6, 3, 24.5, 0.4, 868, 3154.2, 11496.6, 908.5, 5.5, 1.6, 26.1, 38.6, 1.4, 3, 0.1, 0.2, 0.1, 0.1, 21, 333.4, 340.5, 73.3, 0.2, -0.9, 0.1, 0, 5.7, 8.5, -8.4, 0, 39.95, 0.2, 0.53, 0, 0, 11.5, 5.8, 909.4, 1.65, 0, 
15, MN101, 0, 1881, -101.3, 18236.8, 19577.9, 688.6, 198, 258.9, 405.1, 219.33, 1216.9, 28.6, 298.8, 104.6, 8905.2, 2226.3, 476, 158.4, 26.6, 4.7, 23.4, 0.8, 834.3, 3574.7, 12748, 1079.9, 8, 2.6, 23.1, 36, 1.3, 2.7, 0.2, 0.3, 0.1, 0.1, 21.8, 384.4, 413.7, 103.3, 0.2, -1.1, 0.1, -0.2, 5.9, 9.9, -8.4, 0, 39.95, 0.22, 0.83, 0, 0, 11.4, 4.8, 1143.3, 2.61, 0, 
15, MN102, 1, 7920, -134.8, 16928.1, 20624.4, 721.8, 205, 247, 449.3, 142.83, 1012.6, 26.6, 163.1, 57.1, 9532.7, 2383.2, 492.4, 183.6, 21, 3.1, 24.5, 0.4, 890.1, 3256.6, 11861.2, 920.2, 5.4, 1.5, 26.4, 39.3, 1.4, 3.1, 0.1, 0.2, 0.1, 0.1, 21.4, 343.9, 351.4, 75.3, 0.2, -1, 0.1, 0.1, 5.8, 8.8, -8.7, 0, 39.95, 0.2, 0.54, 0, 0, 11.8, 5.8, 935.4, 1.68, 0, 
20, MN101, 0, 1881, -65.2, 18560, 19687.7, 663.9, 191.1, 250.4, 409.7, 222.82, 1237.2, 28.7, 299, 104.6, 8956.7, 2239.2, 482.6, 161.4, 26.2, 4.6, 21.9, 0.8, 840.4, 3641.4, 12985.5, 1092.8, 8, 2.6, 23.2, 36.2, 1.3, 2.7, 0.1, 0.3, 0.1, 0.1, 21.6, 391.4, 421.3, 105.5, 0.2, -1, 0.1, -0.3, 5.9, 10.1, -8.5, 0, 39.95, 0.23, 0.84, 0, 0, 11, 4.5, 1163.3, 2.65, 0, 
20, MN102, 1, 7920, -75.8, 17391, 20650, 679.7, 193.3, 232.3, 454.9, 145.55, 1038.2, 26.7, 163.4, 57.2, 9544.6, 2386.1, 501, 187.3, 20.4, 3, 21.7, 0.4, 898.5, 3354.5, 12205.8, 932.2, 5.4, 1.5, 26.3, 39.1, 1.4, 3.2, 0.1, 0.2, 0.1, 0.1, 21.2, 353.9, 362.6, 77.4, 0.2, -0.9, 0.1, -0.1, 5.8, 8.9, -8.9, 0, 39.95, 0.21, 0.55, 0, 0, 11.1, 5.4, 961.2, 1.71, 0, 
